AmericaEquity;IncomeFound;AggregateBond;CorporateBond;EquityAllCap;HighYeldPlusBound;SelectEquity;ShortDurationBond;USTechnology;USValue
-0.000957923;-0.000935683;0.000524067;0.000753548;-0.001438564;-0.001383262;-0.001648178;0.000125306;0.000571113;-0.002259994
-0.001208138;-5.51E-05;-5.24E-05;-0.00037661;-0.000683092;9.90E-05;-0.002000962;-5.97E-05;0.002002165;0
0.002875416;0.000715795;0.000366515;0.001170606;0.002952336;0.000543826;0.002247356;7.16E-05;0.003558988;0.002635519
-0.005333018;-5.50E-05;-0.000628502;-0.001170606;-0.005771945;0.000148198;-0.005927419;-0.000155141;-0.01171699;-0.000751375
-0.003980212;-0.000275201;-0.000996991;-0.001047857;-0.004264037;0.000296245;-0.004013841;-0.000101469;-0.011159648;0.001876005
9.44E-05;-0.000220286;-0.000683473;-0.000798065;0.000617224;4.94E-05;0.000226766;-0.000226898;0.001281811;0.000748139
-0.003603337;-0.000165288;-0.000263161;4.20E-05;-0.001893027;-9.87E-05;-0.001665706;5.97E-05;-0.004165328;-0.001497569
0.003949451;0;-0.000421389;-0.000126132;0.002740281;0.000197407;0.003776498;-0.000191138;0.001693984;0.002244421
-0.000881561;5.51E-05;-0.000632852;-0.000504896;-0.000230905;9.87E-05;-0.000903369;-0.000167314;-0.000942425;-0.001120761
-0.003766726;-0.000551345;-0.00036959;-0.000674109;-0.003983139;-0.000296076;-0.003455106;0.000376367;-0.003576688;-0.001874386
0.001776647;-0.000441581;-0.000528532;-0.000675157;0.001163913;-0.000642192;0.000758947;-0.000436138;0.007257822;-0.00037585
0.001643261;-0.000165709;-0.000476229;0.000422096;0.001238079;-0.000197789;0.001337573;7.77E-05;0.000229038;0.00037585
-3.15E-05;0.000165709;0.000846269;8.44E-05;-7.73E-05;4.95E-05;-7.56E-05;0.000471881;0.006308098;-0.001128527
